drug,l2s2_n_total,l2s2_n_signatures,l2s2_n_significant,l2s2_n_significant_mimic,l2s2_n_significant_general,l2s2_signatures,l2s2_mimic_signatures,l2s2_general_signatures,l2s2_n_sig_pval,l2s2_min_pvalue,l2s2_min_adj_pvalue,l2s2_min_pvalue_general,l2s2_min_adj_pvalue_general,l2s2_min_pvalue_up,l2s2_min_adj_pvalue_up,l2s2_mean_neglog10p,l2s2_max_neglog10p,l2s2_mean_odds_ratio,l2s2_max_odds_ratio,l2s2_direction,l2s2_retrieval_sort,l1k_n_total,l1k_n_signatures,l1k_signatures,l1k_mean_score,l1k_max_score,l1k_false_rescue,n_engines,n_total_signatures,regulatory_status,approved_jurisdiction,mechanism,target_axis,candidate_tier,lincs_eligible,lookup_source,mechanism_flag,firewall_status,firewall_reason,lincs_drug,signature_has_nominal_genes
niclosamide,1,1,1,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,4.2879603468848095e-09,9.70151028482688e-07,4.771287937967591e-12,1.1363198904896502e-09,1.000000000000382,1.0,8.368,8.368,5.645,5.645,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,niclosamide,False
floxuridine,1,1,1,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,2.1037565516126308e-08,4.327044725475979e-06,4.607523268901934e-08,4.9640578075669644e-06,1.000000000000646,1.0,7.677,7.677,3.859,3.859,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,floxuridine,False
fluphenazine,6,6,1,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,1.179822774446507e-07,1.977295575692757e-05,6.61283232704051e-17,2.493588856654859e-14,0.0037616841729381,0.1654444157196352,1.276,6.928,1.479,6.48,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,fluphenazine,False
dabrafenib,8,8,1,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,1.9911897293046842e-07,3.217904830394177e-05,0.0006170141927352,0.0247078692223609,0.0076870721713157,0.2669216921682224,0.838,6.701,0.533,2.285,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,broad_cancer_kinase,REJECT,not_matched_to_candidate_or_axis; broad_cancer_kinase_not_MVA_axis; only_1_signature_total,dabrafenib,False
erlotinib,11,11,1,4,0,GSE22206_case_v_control_100_rescue,GSE134780_HH_v_WT_fat_250_rescue;GSE22206_LCL_case_v_control_100_rescue;GSE22206_LCL_case_v_control_150_rescue;GSE22206_LCL_case_v_control_250_rescue,,1,3.556051575535813e-07,4.876101024030168e-05,0.0296870502402291,0.7183631141018021,2.912824563814704e-05,0.0082632233678743,0.599,6.449,0.42,1.694,MIXED,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total; mixed_l2s2_directionality_reverse_and_mimic,erlotinib,False
trifluoperazine,10,10,1,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,5.397437364996315e-07,7.183354140178919e-05,2.2538986338894226e-08,2.4875344678901555e-06,0.0038278191615183,0.2043182882774012,0.662,6.268,0.886,3.224,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,trifluoperazine,False
vandetanib,10,10,1,3,1,GSE22206_case_v_control_100_rescue,GSE134780_HH_v_WT_fat_250_rescue;GSE22206_LCL_case_v_control_100_rescue;GSE22206_LCL_case_v_control_150_rescue,GSE22206_case_v_control_100_rescue,1,2.3341986901329085e-06,0.0002514821207821,1.144786496160815e-05,0.0007731580440489,2.8233092131964197e-05,0.0082632233678743,0.563,5.632,0.338,2.68,MIXED,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total; mixed_l2s2_directionality_reverse_and_mimic,vandetanib,False
thioridazine,3,3,1,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,2.44227534552462e-06,0.0002570068822906,1.7587702419655912e-08,2.0943250907616573e-06,0.0076991988014934,0.2622690957986608,2.017,5.612,1.575,3.191,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,thioridazine,False
idarubicin,3,3,1,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,3.1025520980788857e-06,0.0003119788498623,3.244720886088492e-05,0.0018126372851296,0.0037631966602095,0.3835204929315329,1.836,5.508,2.121,3.254,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,idarubicin,False
sorafenib,8,8,1,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,4.766008411355883e-06,0.0004588550651358,0.0012854809950474,0.0465344120207187,0.0019025975409764,0.1559779828054443,0.68,5.322,0.659,2.154,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,sorafenib,False
ponatinib,3,3,1,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,1.6939346264410846e-05,0.0013687596758296,5.445586839905166e-05,0.0026798474169132,0.0076383419415363,0.3076788971850099,1.59,4.771,1.024,2.908,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,ponatinib,False
kpt 330,2,2,1,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,1.9071151985886625e-05,0.0015139818023883,7.54925412526137e-10,1.0675117161502408e-07,0.9999999999995998,1.0,2.36,4.72,4.517,9.035,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,kpt 330,False
mek 162,1,1,1,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,9.407462409850574e-05,0.0065490411391652,1.1823667794823414e-06,0.0001049060721011,0.9999999999994182,1.0,4.027,4.027,5.87,5.87,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,broad_cancer_kinase,REJECT,not_matched_to_candidate_or_axis; broad_cancer_kinase_not_MVA_axis; only_1_signature_total,mek 162,False
sertraline,1,1,1,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,0.0001060238378852,0.0070933819190191,0.000520649816304,0.0216141322823453,0.9999999999991576,1.0,3.975,3.975,3.175,3.175,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,sertraline,False
etoposide,2,2,1,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,0.000106596678562,0.0070933819190191,0.0007379876706498,0.0287878811180221,0.0152277704188646,0.4108661696454894,1.986,3.972,1.64,3.054,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,cytotoxic_cancer,REJECT,not_matched_to_candidate_or_axis; cytotoxic_or_cancer_mechanism; only_1_signature_total,etoposide,False
gemcitabine,3,3,1,0,0,GSE22206_case_v_control_100_rescue,,,1,0.000110987055026,0.0072784988984488,0.0131391241568373,0.3603305261193278,0.0308746274852966,0.3835204929315329,1.318,3.955,0.822,2.144,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,gemcitabine,False
sunitinib,2,2,1,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,0.000215063440506,0.0133309872368501,0.0009778816949383,0.0362697923737396,0.0075064458432758,0.3076788971850099,1.834,3.667,1.708,3.126,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,sunitinib,False
artesunate,1,1,1,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,0.0004039892013689,0.02256853254561,1.6909490556945456e-06,0.0001416952680929,0.9999762983573072,1.0,3.394,3.394,4.859,4.859,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,artesunate,False
tioguanine,1,1,1,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,0.0004037790531876,0.02256853254561,2.50778208272561e-05,0.0014364194840928,0.9999999999999072,1.0,3.394,3.394,5.171,5.171,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,tioguanine,False
epirubicin,6,6,1,0,0,GSE22206_case_v_control_100_rescue,,,1,0.0004576688933102,0.0242573452008276,0.069611563306882,1.0,0.0018722700711233,0.0521350588242644,0.557,3.339,0.328,1.761,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,epirubicin,False
fulvestrant,11,11,1,3,1,GSE22206_case_v_control_100_rescue,GSE22206_LCL_case_v_control_100_rescue;GSE22206_case_v_control_150_rescue;GSE22206_case_v_control_250_rescue,GSE22206_case_v_control_100_rescue,1,0.0005943486554272,0.0298825296200933,2.937188733527865e-06,0.0002252674410036,2.8707739579305456e-05,0.0042053158004249,0.298,3.226,0.499,2.571,MIXED,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total; mixed_l2s2_directionality_reverse_and_mimic,fulvestrant,False
thioguanine,1,1,1,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,0.0007321459875492,0.0360104412354375,1.9137047155847096e-07,1.8825030082653935e-05,0.9999550077880428,1.0,3.135,3.135,6.327,6.327,REVERSE,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; only_1_signature_total,thioguanine,False
doxorubicin,9,9,0,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,0.0011339371406032,0.0518289450629243,1.974940716447988e-05,0.001195656877808,0.0004683169949873,0.0628387910165974,0.361,2.945,0.516,2.652,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,cytotoxic_cancer,REJECT,not_matched_to_candidate_or_axis; cytotoxic_or_cancer_mechanism; no_significant_fdr_lincs_signal,doxorubicin,False
bosutinib,6,6,0,0,0,GSE22206_case_v_control_100_rescue,,,1,0.001614874682903,0.0706033023006375,0.0457603959429884,1.0,0.0153901586365727,0.2669216921682224,0.465,2.792,0.301,1.786,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,bosutinib,False
cabozantinib,9,9,0,3,0,GSE22206_case_v_control_100_rescue,GSE134780_HH_v_WT_fat_250_rescue;GSE22206_LCL_case_v_control_100_rescue;GSE22206_LCL_case_v_control_250_rescue,,1,0.0016453237491712,0.0706033023006375,0.0384069130361112,1.0,3.4357781679741077e-06,0.0016357258583195,0.331,2.784,0.818,2.666,MIMIC,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,cabozantinib,False
selumetinib,12,12,0,4,0,GSE22206_case_v_control_100_rescue,GSE22206_LCL_case_v_control_100_rescue;GSE22206_LCL_case_v_control_150_rescue;GSE22206_LCL_case_v_control_250_rescue;GSE22206_fibro_case_v_control_250_rescue,,1,0.0016668092617607,0.0706033023006375,0.1236897015769614,1.0,2.148619269282074e-07,0.0001661803531984,0.35,2.778,0.449,1.534,MIMIC,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,selumetinib,False
ivermectin,2,2,0,0,1,GSE22206_case_v_control_100_rescue,,GSE22206_case_v_control_100_rescue,1,0.0028789752717942,0.1123048543523172,0.0004014103357696,0.0169755305547459,0.999787942960646,1.0,1.27,2.541,1.737,3.473,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,ivermectin,False
valrubicin,1,1,0,0,0,GSE22206_case_v_control_100_rescue,,,1,0.0035754898805104,0.1302977667944548,0.0038142118349059,0.1278467300218464,0.9999999999999408,1.0,2.447,2.447,3.495,3.495,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,valrubicin,False
hexachlorophene,2,2,0,0,0,GSE22206_case_v_control_100_rescue,,,1,0.0036708450312324,0.1302977667944548,0.0014120544461591,0.3420144505907644,0.3620726644268356,1.0,1.251,2.435,3.283,4.111,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,hexachlorophene,False
midostaurin,8,8,0,0,0,GSE22206_case_v_control_100_rescue,,,1,0.0055867751477082,0.1900763725066165,0.0400331905363641,0.9242356488624888,0.0037671973936137,0.1743667488124219,0.282,2.253,0.641,2.297,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,midostaurin,False
tamoxifen,4,4,0,0,0,GSE22206_case_v_control_100_rescue,,,1,0.0056665326978867,0.1913511974472938,0.2294637325312549,1.0,0.0038079399182504,0.2474500626389431,0.638,2.247,1.093,1.485,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,tamoxifen,False
gefitinib,15,15,0,4,0,GSE22206_case_v_control_100_rescue,GSE22206_LCL_case_v_control_100_rescue;GSE22206_LCL_case_v_control_150_rescue;GSE22206_LCL_case_v_control_250_rescue;GSE22206_case_v_control_250_rescue,,1,0.0061844254403074,0.2062115250841572,0.2079000860839823,1.0,0.0001174228282998,0.014887120747247,0.15,2.209,0.29,1.428,MIMIC,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,gefitinib,False
vinblastine,6,6,0,3,0,GSE134780_HH_v_WT_fat_150_rescue,GSE22206_fibro_case_v_control_100_rescue;GSE22206_fibro_case_v_control_150_rescue;GSE22206_fibro_case_v_control_250_rescue,,1,0.007156578629606,1.0,0.0001602486769357,0.0921830514072769,3.4015190829403087e-09,6.737842383457597e-07,0.358,2.145,1.513,6.823,MIMIC,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,cytotoxic_cancer,REJECT,not_matched_to_candidate_or_axis; cytotoxic_or_cancer_mechanism; no_significant_fdr_lincs_signal,vinblastine,False
nelfinavir,1,1,0,0,0,GSE22206_case_v_control_100_rescue,,,1,0.0102608534003714,0.2995507202366493,0.025806918458345,0.6451729614586252,0.9990913332821671,1.0,1.989,1.989,2.188,2.188,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,nelfinavir,False
amitriptyline,3,3,0,0,0,GSE22206_case_v_control_100_rescue,,,1,0.0150748671441437,0.3748740546915936,0.1087394851641642,1.0,0.0074292407456773,0.1693853159267939,0.607,1.822,0.684,2.02,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,amitriptyline,False
trifluridine,2,2,0,0,0,GSE22206_case_v_control_100_rescue,,,1,0.0150899369871022,0.3748740546915936,0.119656326063911,1.0,1.0,1.0,0.911,1.821,0.982,1.964,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,trifluridine,False
digitoxin,4,4,0,2,0,GSE22206_case_v_control_100_rescue,GSE22206_fibro_case_v_control_150_rescue;GSE22206_fibro_case_v_control_250_rescue,,1,0.0152356879866442,0.3748740546915936,0.3104115552467907,1.0,0.0004447833501075,0.0219544097212971,0.454,1.817,0.365,1.422,MIMIC,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,digitoxin,False
paroxetine,3,3,0,0,0,GSE22206_case_v_control_100_rescue,,,1,0.0152330841000035,0.3748740546915936,0.3051405282553744,1.0,0.9999999999997766,1.0,0.606,1.817,0.477,1.431,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,paroxetine,False
mycophenolate mofetil,2,2,0,0,0,GSE22206_case_v_control_100_rescue,,,1,0.0153082852070741,0.3748740546915936,0.4941617522950189,1.0,0.9999999999992634,1.0,0.908,1.815,0.577,1.154,NOT_SIGNIFICANT,adj_pvalue_down (rescue-sorted),0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,mycophenolate mofetil,False
