rank,tier,drug,target_axis,mechanism,evidence_level,evidence_source,pediatric_status,risk_notes,regulatory_status,approved_jurisdiction,pediatric_indication,lincs_eligible,regulatory_evidence_url,l2s2_n_signatures,l2s2_n_significant_mimic,l2s2_n_significant_general,l2s2_n_total,l2s2_min_pvalue,l2s2_min_adj_pvalue,l2s2_min_pvalue_general,l2s2_min_adj_pvalue_general,l2s2_min_pvalue_up,l2s2_min_adj_pvalue_up,l2s2_mean_neglog10p,l2s2_mean_odds_ratio,l1k_n_signatures,l1k_n_total,l1k_mean_score,l1k_max_score,n_engines,n_total_signatures,lincs_firewall_status,lincs_firewall_reason,lincs_mechanism_flag,l2s2_direction,l2s2_retrieval_sort,signature_has_nominal_genes
11,Tier2-ROS (analogue),N-acetylcysteine (NAC),ROS/mitochondria,Proposed pharmacological ROS scavenger on the fly Sod2/GTPx-1 axis (NAC was NOT the published fly intervention),ANALOGUE only; fly brain-size rescue was Sod2 and GTPx-1 overexpression (Gonzalez-Blanco 2026); antioxidant supplements can promote metastasis in some cancer models,Gonzalez-Blanco et al. 2026 Nat Commun 17:3829; Piskounova et al. 2015 Nature 527:186-191; Sayin et al. 2014 Sci Transl Med 6:221ra15,FDA-approved; paediatric-safe (mucolytic; paracetamol antidote),Poor BBB penetration; potential pro-metastatic/anti-apoptotic effect in a cancer-predisposed MVA1 patient,APPROVED_MEDICATION,FDA; EMA,yes,True,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5558a5f5-e821-473b-7d8a-5d33d09f0586,0,0,0,0,,,,,,,,,0,0,,,0,0,NO_LINCS_HIT,not_found_in_l2s2_or_l1000cds2,,NO_LINCS_HIT,,False
12,Tier2-ROS (analogue),MitoQ,ROS/mitochondria,Mitochondria-targeted antioxidant proposed as pharmacological analogue of fly mito-chaperone / ROS-scavenger overexpression,ANALOGUE only; no direct MVA rescue data,Gonzalez-Blanco et al. 2026 Nat Commun 17:3829,Supplement; phase 2 in other indications; paediatric data limited,Limited CNS data; does not address the primary BUBR1 defect,SUPPLEMENT_FOOD_GRAS,none (dietary supplement; self-affirmed GRAS),no,False,none,0,0,0,0,,,,,,,,,0,0,,,0,0,NO_LINCS_HIT,not_found_in_l2s2_or_l1000cds2,,NO_LINCS_HIT,,False
13,Tier2-ROS/Nrf2 (caution),Omaveloxolone,NFE2L2/Nrf2,"Nrf2 activator -> antioxidant gene program (SOD2, GCLC, NQO1); ChEMBL screen hit for NFE2L2",SUPPORTING (approved for Friedreich ataxia; Nrf2 counteracts aneuploidy-driven ROS); CAVEAT: Nrf2 activation can promote chemoresistance and tumour survival,Lynch et al. 2021 Lancet Neurol (MOXIe); ChEMBL CHEMBL1075094,FDA-approved (Friedreich ataxia 2023); adolescent data in FA trials,Transaminitis; fatigue; theoretical oncogenic risk in established aneuploid clones,APPROVED_MEDICATION,FDA; EMA,limited,True,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2709e870-df3d-f30f-e063-6394a90aeda1; https://www.ema.europa.eu/en/medicines/human/EPAR/skyclarys,0,0,0,0,,,,,,,,,0,0,,,0,0,NO_LINCS_HIT,not_found_in_l2s2_or_l1000cds2,,NO_LINCS_HIT,,False
14,Tier2-SENESCENCE (adjunct),Dasatinib (Sprycel),BCR-ABL / SRC / senolytic adjunct,Approved tyrosine-kinase inhibitor for Ph+ CML and ALL; used as the approved component of a dasatinib + quercetin senolytic adjunct,SUPPORTING in vivo mouse (adjunct only),Zhu et al. 2015 Aging Cell 14:644-58 (dasatinib + quercetin senolytic origin; Ercc1 progeroid model — not a BubR1 study); Baker et al. 2011 Nature 479:232-6 (INK-ATTAC clearance of p16-positive senescent cells in BubR1^H/H mice — delayed phenotypes without lifespan extension; the dasatinib + quercetin combination was not reported in that study),FDA-approved for Ph+ CML and Ph+ ALL in children >=1 year,Myelosuppression; infection; QT effects; senescent-cell clearance may alter tumour microenvironment unpredictably; use only as an oncology-supervised adjunct,APPROVED_MEDICATION,FDA; EMA,yes,True,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4764f37b-c9e6-4ede-bcc2-8a03b7c521df,1,2,0,10,9.690845394164226e-08,1.508096043581488e-05,0.0021578261881938,0.4317528746986188,6.5664553373986665e-21,3.18741671147264e-17,0.705,0.697,1,3,0.14983,0.1623,2,2,WEAK,mixed_l2s2_directionality_reverse_and_mimic,mechanism_ok,MIXED,"pvalue_up (mimic-sorted, default)",True
15,Tier2-SENESCENCE (adjunct),Quercetin,Senescence/SASP (senolytic supplement),"Flavonoid dietary supplement; a non-approved supplement sometimes combined with dasatinib as a senolytic adjunct in other ageing models, but not in the BubR1^H/H MVA mouse study",ANALOGUE only,Zhu et al. 2015 Aging Cell 14:644-58 (dasatinib + quercetin senolytic origin; Ercc1 progeroid model — not a BubR1 study); Baker et al. 2011 Nature 479:232-6 studied INK-ATTAC senescent-cell clearance in BubR1^H/H mice — delayed phenotypes without lifespan extension; the D+Q combination was not used there,Supplement; no approved paediatric indication,Myelosuppression; infection; QT effects; senescent-cell clearance may alter tumour microenvironment unpredictably; not an approved drug; use only as an adjunct,SUPPLEMENT_FOOD_GRAS,none (FDA GRAS no-questions at <=500 mg/serving),no,False,https://www.hfpappexternal.fda.gov/scripts/fdcc/index.cfm?set=grasnotices&id=341,0,0,0,0,,,,,,,,,0,0,,,0,0,NO_LINCS_HIT,not_found_in_l2s2_or_l1000cds2,,NO_LINCS_HIT,,False
16,Tier3-SYSTEMIC,Baricitinib,JAK1/JAK2/type-I IFN,JAK1/2 inhibition suppresses type-I IFN downstream of micronuclei->cGAS-STING; paediatric compassionate-use in AGS/CANDLE/SAVI,STRONG paediatric clinical evidence in interferonopathies (adjunct; biomarker-guided),NEJM 2020 (35 AGS patients); JCI 2018 (Montealegre Sanchez); ChEMBL JAK1/JAK2 hits,"FDA-approved (RA, alopecia, COVID); EMA-approved for juvenile idiopathic arthritis ≥2 yrs; paediatric expanded-access",Infection; lymphopenia; thrombosis; **potential impairment of NK/tumour surveillance in a cancer-prone MVA1 child**,APPROVED_MEDICATION,FDA; EMA,limited,True,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=866e9f35-9035-4581-a4b1-75a621ab55cf,0,0,0,4,0.9924600061111074,1.0,0.0069526332013676,1.0,0.0075399938886969,0.2080097649992232,0.001,0.871,0,0,,,0,0,REJECT,no_significant_fdr_lincs_signal,mechanism_ok,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",True
17,Tier3-SYSTEMIC,Ruxolitinib,JAK1/JAK2/type-I IFN,JAK1/2 inhibitor; approved paediatric GVHD; case evidence in SAVI/AGS,SUPPORTING (paediatric approvals + case reports),Frontiers Pediatr 2021; ChEMBL JAK1/JAK2 hits,FDA-approved paediatric (GVHD),Infection; cytopenias; **tumour-surveillance caveat**,APPROVED_MEDICATION,FDA; EMA,yes,True,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f1c82580-87ae-11e0-bc84-0002a5d5c51b,0,0,0,0,,,,,,,,,0,0,,,0,0,NO_LINCS_HIT,not_found_in_l2s2_or_l1000cds2,,NO_LINCS_HIT,,False
18,Tier3-SYSTEMIC,Tocilizumab,IL6R/IL-6-STAT3,Anti-IL-6R; CIN cells depend on cGAS-STING->IL-6/STAT3 survival; reduces CIN-driven inflammation,SUPPORTING (CIN biology; paediatric-approved),Hong et al. 2022 Nature 607:366-73; ChEMBL CHEMBL1237022,"FDA-approved paediatric (sJIA, CRS)",Infection; infusion reactions; **tumour-surveillance caveat**,APPROVED_MEDICATION,FDA; EMA,yes,True,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2e5365ff-cb2a-4b16-b2c7-e35c6bf2de13,0,0,0,0,,,,,,,,,0,0,,,0,0,NO_LINCS_HIT,not_found_in_l2s2_or_l1000cds2,,NO_LINCS_HIT,,False
EXCLUDED,Anti-target,"TTK/MPS1 inhibitors (BAY-1161909, BAY-1217389, CFI-402257)",TTK/MPS1,SAC override -> premature anaphase -> MORE aneuploidy; cancer-killing strategy,WRONG DIRECTION for BUB1B hypomorphism,CFI-402257 PNAS 2017; BOS172722 ICR 2020; ChEMBL CHEMBL3983,Investigational,Would worsen disease,ANTI_TARGET,none,no,False,none,0,0,0,0,,,,,,,,,0,0,,,0,0,NO_LINCS_HIT,not_found_in_l2s2_or_l1000cds2,,NO_LINCS_HIT,,False
EXCLUDED,Anti-target,"Aurora B inhibitors (barasertib, GSK-1070916)",AURKB,Error-correction kinase inhibition -> more mis-segregation,WRONG DIRECTION,ChEMBL CHEMBL2185,Investigational,Would worsen disease,ANTI_TARGET,none,no,False,none,0,0,0,0,,,,,,,,,0,0,,,0,0,NO_LINCS_HIT,not_found_in_l2s2_or_l1000cds2,,NO_LINCS_HIT,,False
EXCLUDED,Anti-target,STING agonists (ADU-S100),TMEM173/STING,Amplifies micronuclei-driven IFN cascade,WRONG DIRECTION,ChEMBL CHEMBL4523377,Investigational,Would worsen neuroinflammation,ANTI_TARGET,none,no,False,none,0,0,0,0,,,,,,,,,0,0,,,0,0,NO_LINCS_HIT,not_found_in_l2s2_or_l1000cds2,,NO_LINCS_HIT,,False
